Dimensión,Práctica
Diseño y procesamiento,Ignorar ciertos aspectos de los requerimientos de las personas participantes.
,Pasar por alto el uso de datos cuestionables o de interpretaciones cuestionables que otros hacen.
,Cambiar partes de un estudio como respuesta a la presión de una fuente de financiación
,Eliminar observaciones de los análisis basados en la intuición de que eran inexactos.
,"Redondear un valor p (por ejemplo, reportar que un p-value de 0,054 es menor a 0,05)"
,"Eliminación, adición o alteración de datos después de pruebas de hipótesis."
,Supresión selectiva o adición de variables.
,Invertir la dirección o reformular hipótesis para respaldar los datos
"Redacción, reporte y publicación",Ampliar de manera innecesaria la bibliografía de un estudio.
,Tergiversar los logros de la investigación.
,Exagerar la importancia y la relevancia práctica de los resultados.
,Retener detalles de la metodología de investigación (e.g. no reportar todas las variables dependientes de un estudio)
,Retener resultados de la investigación (e.g. no presentar datos que contradicen una propia investigación previa).
,Establecer publicaciones o brindar apoyo a publicaciones que no cumplen el proceso de control de calidad de la investigación
,Publicar los mismos datos o resultados en dos o más publicaciones.
,"Selectivamente reportar estudios que ""funcionaron""."
,Reportar hallazgos inesperados como previstos desde el principio.
,Afirmar que los resultados no se ven afectados por variables demográficas cuando uno no está realmente seguro (o sabe que lo hacen).
Citación y autoría,Manipular la autoría o denigrar el papel de otros investigadores en las publicaciones.
,Asignar inapropiadamente los crédios de autoría.
,"Volver a publicar partes sustanciales de publicaciones propias anteriores, incluidas las traducciones, sin citar debidamente el original (""autoplagio"")."
,"Citar de forma selectiva para mejorar los propios resultados o para complacer a los editores, los revisores o los colegas."
,Usar ideas de otros sin obtener permiso o dar crédito
,Uso no autorizado de información confidencial en relación con la propia investigación.
Relaciones con otros,Permitir que los patrocinadores pongan en peligro la independencia en el proceso de investigación con el fin de introducir sesgos.
,Acusar a un investigador de conducta indebida u otras infracciones de forma maliciosa.
,Retrasar u obstaculizar inadecuadamente el trabajo de otros investigadores.
,Emplear la experiencia profesional propia para alentar a que se incumpla la integridad de la investigación.
,Ignorar supuestos incumplimientos de la integridad de la investigación cometidos por terceros o encubrir reacciones inadecuadas a conductas indebidas.
,No divulgar adecuadamente la participación en empresas cuyos productos se basan en la investigación de uno.
,"Relaciones con estudiantes, sujetos de investigación o clientes que pueden ser interpretadas como cuestionables."